CLIENTE;STATUSx;STATUS;IDADE;BIDADE_1;BIDADE_2;BIDADE_3;BIDADE_4;UNIFED;BSTATE_SP;BSTATE_RJ;FONE;BFONE;INSTRU;BINST_PR_SEC;BINST_SUP;CARTAO;BCARD;RESTR;BRESTR;RESID;BRESID;ATRASO;FICCAO;BFIX;NAOFICCAO;BNOFIX;AUTOAJUDA;BAUTAJ;CATEG
LDOR_0017;BOM;BOM;23;0;0;0;0;SP;1;0;SIM;1;MV;0;0;NAO;0;NAO;0;PROP;1;4;SIM;1;SIM;0;NAO;0;0
LDOR_0018;BOM;BOM;64;1;1;1;1;SP;1;0;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;1;NAO;0;NAO;0;NAO;0;0
LDOR_0019;BOM;BOM;40;1;1;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;4;SIM;1;NAO;0;NAO;0;1
LDOR_0020;BOM;BOM;23;0;0;0;0;SP;1;0;SIM;1;MV;0;0;NAO;0;NAO;0;PROP;1;2;SIM;1;NAO;0;NAO;0;0
LDOR_0021;MAU;MAU;38;1;0;0;0;OUTROS;0;0;NÃO;0;MV;0;0;SIM;1;NAO;0;PROP;1;38;NAO;0;NAO;0;SIM;1;0
LDOR_0022;MAU;MAU;61;1;1;1;1;SP;1;0;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;33;SIM;1;NAO;0;SIM;1;1
LDOR_0023;BOM;BOM;41;1;1;0;0;RJ;0;1;SIM;1;PRIM & SEC;1;0;NAO;0;NAO;0;PROP;1;1;NAO;0;NAO;0;NAO;0;0
LDOR_0024;BOM;BOM;49;1;1;1;0;RJ;0;1;SIM;1;MV;0;0;SIM;1;NAO;0;ALUG;0;0;NAO;0;NAO;0;SIM;1;1
LDOR_0025;BOM;BOM;29;0;0;0;0;RJ;0;1;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;0;NAO;0;NAO;0;NAO;0;0
LDOR_0026;MAU;MAU;50;1;1;1;0;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;NAO;0;NAO;0;PROP;1;41;NAO;0;NAO;0;SIM;1;0
LDOR_0027;BOM;BOM;47;1;1;1;0;SP;1;0;SIM;1;MV;0;0;NAO;0;NAO;0;PROP;1;1;SIM;1;NAO;0;SIM;1;1
LDOR_0028;BOM;BOM;69;1;1;1;1;RJ;0;1;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;1;NAO;0;NAO;0;NAO;0;0
LDOR_0029;BOM;BOM;40;1;1;0;0;OUTROS;0;0;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;0;NAO;0;NAO;0;NAO;0;0
LDOR_0030;BOM;BOM;28;0;0;0;0;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;NAO;0;NAO;0;ALUG;0;5;NAO;0;NAO;0;NAO;0;0
LDOR_0031;BOM;BOM;28;0;0;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;14;SIM;1;NAO;0;SIM;1;1
LDOR_0032;BOM;BOM;38;1;0;0;0;SP;1;0;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;0
LDOR_0033;MAU;MAU;32;1;0;0;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;SIM;1;PROP;1;32;SIM;1;NAO;0;NAO;0;0
LDOR_0034;MAU;MAU;45;1;1;1;0;RJ;0;1;SIM;1;MV;0;0;SIM;1;SIM;1;ALUG;0;37;SIM;1;NAO;0;SIM;1;1
LDOR_0035;BOM;BOM;25;0;0;0;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;SIM;1;1
LDOR_0036;MAU;MAU;46;1;1;1;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;35;NAO;0;SIM;0;SIM;1;0
LDOR_0037;BOM;BOM;35;1;0;0;0;SP;1;0;SIM;1;PRIM & SEC;1;0;NAO;0;NAO;0;PROP;1;5;SIM;1;NAO;0;NAO;0;1
LDOR_0038;BOM;BOM;38;1;0;0;0;SP;1;0;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;NAO;0;1
LDOR_0039;BOM;BOM;50;1;1;1;0;SP;1;0;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;5;NAO;0;NAO;0;NAO;0;0
LDOR_0040;MAU;MAU;37;1;0;0;0;SP;1;0;SIM;1;PRIM & SEC;1;0;NAO;0;NAO;0;ALUG;0;32;SIM;1;NAO;0;NAO;0;1
LDOR_0041;MAU;MAU;40;1;1;0;0;SP;1;0;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;ALUG;0;32;SIM;1;NAO;0;SIM;1;1
LDOR_0042;BOM;BOM;26;0;0;0;0;RJ;0;1;SIM;1;PRIM & SEC;1;0;NAO;0;NAO;0;PROP;1;3;NAO;0;NAO;0;NAO;0;0
LDOR_0043;BOM;BOM;35;1;0;0;0;OUTROS;0;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;4;SIM;1;NAO;0;SIM;1;1
LDOR_0044;BOM;BOM;70;1;1;1;1;RJ;0;1;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;0;NAO;0;NAO;0;SIM;1;1
LDOR_0045;BOM;BOM;56;1;1;1;1;RJ;0;1;SIM;1;SUP;0;1;SIM;1;SIM;1;PROP;1;0;SIM;1;NAO;0;NAO;0;1
LDOR_0046;BOM;BOM;43;1;1;0;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;SIM;1;1
LDOR_0047;BOM;BOM;42;1;1;0;0;SP;1;0;SIM;1;MV;0;0;NAO;0;NAO;0;PROP;1;1;NAO;0;NAO;0;NAO;0;0
LDOR_0048;BOM;BOM;41;1;1;0;0;SP;1;0;SIM;1;SUP;0;1;NAO;0;NAO;0;ALUG;0;2;SIM;1;NAO;0;NAO;0;1
LDOR_0049;BOM;BOM;20;0;0;0;0;OUTROS;0;0;NÃO;0;PRIM & SEC;1;0;SIM;1;SIM;1;PROP;1;0;SIM;1;NAO;0;NAO;0;1
LDOR_0050;BOM;BOM;53;1;1;1;1;OUTROS;0;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;NAO;0;1
LDOR_0051;BOM;BOM;36;1;0;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;NAO;0;1
LDOR_0052;MAU;MAU;62;1;1;1;1;RJ;0;1;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;32;NAO;0;NAO;0;SIM;1;0
LDOR_0053;MAU;MAU;51;1;1;1;0;RJ;0;1;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;34;SIM;1;NAO;0;NAO;0;0
LDOR_0054;BOM;BOM;38;1;0;0;0;SP;1;0;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;2;SIM;1;NAO;0;SIM;1;1
LDOR_0055;BOM;BOM;34;1;0;0;0;OUTROS;0;0;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;SIM;1;1
LDOR_0056;MAU;MAU;35;1;0;0;0;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;31;NAO;0;NAO;0;SIM;1;0
LDOR_0057;MAU;MAU;28;0;0;0;0;SP;1;0;SIM;1;PRIM & SEC;1;0;NAO;0;NAO;0;PROP;1;34;SIM;1;NAO;0;NAO;0;0
LDOR_0058;BOM;BOM;20;0;0;0;0;SP;1;0;NÃO;0;MV;0;0;SIM;1;NAO;0;PROP;1;2;SIM;1;NAO;0;NAO;0;1
LDOR_0059;BOM;BOM;25;0;0;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;NAO;0;1
LDOR_0060;BOM;BOM;31;0;0;0;0;RJ;0;1;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;1;NAO;0;NAO;0;SIM;1;1
LDOR_0061;BOM;BOM;30;0;0;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;SIM;1;1
LDOR_0062;BOM;BOM;54;1;1;1;1;RJ;0;1;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;1
LDOR_0063;BOM;BOM;68;1;1;1;1;RJ;0;1;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;1
LDOR_0064;BOM;BOM;45;1;1;1;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;SIM;1;1
LDOR_0065;MAU;MAU;43;1;1;0;0;OUTROS;0;0;SIM;1;SUP;0;1;SIM;1;SIM;1;PROP;1;38;NAO;0;NAO;0;SIM;1;0
LDOR_0066;BOM;BOM;47;1;1;1;0;RJ;0;1;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;1
LDOR_0067;BOM;BOM;41;1;1;0;0;SP;1;0;SIM;1;SUP;0;1;NAO;0;NAO;0;ALUG;0;0;NAO;0;NAO;0;SIM;1;1
LDOR_0068;BOM;BOM;41;1;1;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;1
LDOR_0069;BOM;BOM;48;1;1;1;0;RJ;0;1;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;2;SIM;1;NAO;0;SIM;1;1
LDOR_0070;BOM;BOM;23;0;0;0;0;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;8;NAO;0;NAO;0;SIM;1;1
LDOR_0071;BOM;BOM;46;1;1;1;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;NAO;0;NAO;0;SIM;1;1
LDOR_0072;BOM;BOM;74;1;1;1;1;RJ;0;1;SIM;1;SUP;0;1;MV;0;SIM;1;PROP;1;2;NAO;0;NAO;0;NAO;0;0
LDOR_0073;BOM;BOM;25;0;0;0;0;OUTROS;0;0;NÃO;0;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;1;NAO;0;NAO;0;NAO;0;0
LDOR_0074;BOM;BOM;38;1;0;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;0;NAO;0;NAO;0;SIM;1;1
LDOR_0075;BOM;BOM;46;1;1;1;0;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;NAO;0;1
LDOR_0076;BOM;BOM;26;0;0;0;0;OUTROS;0;0;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;17;NAO;0;NAO;0;NAO;0;0
LDOR_0077;BOM;BOM;40;1;1;0;0;OUTROS;0;0;SIM;1;SUP;0;1;SIM;1;SIM;1;ALUG;0;5;SIM;1;NAO;0;NAO;0;1
LDOR_0078;MAU;MAU;29;0;0;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;SIM;1;PROP;1;42;SIM;1;NAO;1;NAO;0;0
LDOR_0079;BOM;BOM;31;0;0;0;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;0
LDOR_0080;BOM;BOM;45;1;1;1;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;NAO;0;NAO;0;NAO;0;0
LDOR_0081;BOM;BOM;52;1;1;1;1;SP;1;0;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;1;SIM;1;NAO;0;SIM;1;1
LDOR_0082;BOM;BOM;26;0;0;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;NAO;0;1
LDOR_0083;MAU;MAU;33;1;0;0;0;OUTROS;0;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;34;NAO;0;NAO;0;SIM;1;1
LDOR_0084;BOM;BOM;46;1;1;1;0;SP;1;0;SIM;1;PRIM & SEC;1;0;NAO;0;NAO;0;PROP;1;1;SIM;1;NAO;0;SIM;1;1
LDOR_0085;BOM;BOM;53;1;1;1;1;OUTROS;0;0;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;12;NAO;0;SIM;0;NAO;0;0
LDOR_0086;MAU;MAU;41;1;1;0;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;31;SIM;1;NAO;0;SIM;1;1
LDOR_0087;BOM;BOM;35;1;0;0;0;SP;1;0;NÃO;0;SUP;0;1;SIM;1;NAO;0;PROP;1;1;NAO;0;NAO;0;NAO;0;0
LDOR_0088;MAU;MAU;69;1;1;1;1;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;SIM;1;SIM;1;ALUG;0;43;SIM;1;NAO;0;NAO;0;0
LDOR_0089;BOM;BOM;78;1;1;1;1;RJ;0;1;SIM;1;PRIM & SEC;1;0;NAO;0;NAO;0;PROP;1;1;NAO;0;NAO;0;SIM;1;1
LDOR_0090;BOM;BOM;36;1;0;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;SIM;1;1
LDOR_0091;BOM;BOM;36;1;0;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;0
LDOR_0092;BOM;BOM;46;1;1;1;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;NAO;0;1
LDOR_0093;BOM;BOM;22;0;0;0;0;OUTROS;0;0;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;3;SIM;1;NAO;0;SIM;1;1
LDOR_0094;BOM;BOM;29;0;0;0;0;RJ;0;1;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;20;SIM;1;NAO;0;NAO;0;1
LDOR_0095;MAU;MAU;25;0;0;0;0;OUTROS;0;0;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;40;NAO;0;NAO;0;SIM;1;0
LDOR_0096;MAU;MAU;28;0;0;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;35;SIM;1;NAO;0;NAO;0;0
LDOR_0097;BOM;BOM;27;0;0;0;0;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;NAO;0;NAO;0;PROP;1;23;SIM;1;NAO;1;NAO;0;1
LDOR_0098;MAU;MAU;34;1;0;0;0;RJ;0;1;SIM;1;MV;0;0;NAO;0;NAO;0;PROP;1;36;SIM;1;NAO;0;SIM;1;1
LDOR_0099;BOM;BOM;43;1;1;0;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;NAO;0;1
LDOR_0100;BOM;BOM;48;1;1;1;0;RJ;0;1;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;SIM;1;1
LDOR_0101;BOM;BOM;40;1;1;0;0;OUTROS;0;0;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;0
LDOR_0102;BOM;BOM;41;1;1;0;0;RJ;0;1;NÃO;0;SUP;0;1;SIM;1;NAO;0;ALUG;0;26;NAO;0;NAO;0;NAO;0;0
LDOR_0103;BOM;BOM;41;1;1;0;0;SP;1;0;NÃO;0;MV;0;0;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;1;NAO;0;0
LDOR_0104;BOM;BOM;48;1;1;1;0;RJ;0;1;NÃO;0;SUP;0;1;SIM;1;NAO;0;PROP;1;5;SIM;1;NAO;0;NAO;0;0
LDOR_0105;BOM;BOM;43;1;1;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;1
LDOR_0106;BOM;BOM;40;1;1;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;19;SIM;1;NAO;0;SIM;1;1
LDOR_0107;MAU;MAU;46;1;1;1;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;SIM;1;PROP;1;41;SIM;1;NAO;0;NAO;0;0
LDOR_0108;BOM;BOM;77;1;1;1;1;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;4;NAO;0;NAO;0;NAO;0;0
LDOR_0109;BOM;BOM;43;1;1;0;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;4;SIM;1;NAO;0;NAO;0;1
LDOR_0110;BOM;BOM;34;1;0;0;0;RJ;0;1;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;0;NAO;0;NAO;0;SIM;1;1
LDOR_0111;BOM;BOM;34;1;0;0;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;NAO;0;NAO;0;NAO;0;0
LDOR_0112;BOM;BOM;31;0;0;0;0;OUTROS;0;0;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;0;NAO;0;NAO;0;SIM;1;0
LDOR_0113;BOM;BOM;68;1;1;1;1;RJ;0;1;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;4;SIM;1;NAO;0;NAO;0;0
LDOR_0114;BOM;BOM;78;1;1;1;1;RJ;0;1;SIM;1;PRIM & SEC;1;0;NAO;0;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;0
LDOR_0115;BOM;BOM;34;1;0;0;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;2;SIM;1;SIM;0;NAO;0;1
LDOR_0116;BOM;BOM;46;1;1;1;0;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;2;SIM;1;NAO;0;NAO;0;0
LDOR_0117;BOM;BOM;54;1;1;1;1;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;1
LDOR_0118;MAU;MAU;23;0;0;0;0;OUTROS;0;0;NÃO;0;PRIM & SEC;1;0;MV;0;SIM;1;PROP;1;42;NAO;0;NAO;0;SIM;1;1
LDOR_0119;BOM;BOM;41;1;1;0;0;RJ;0;1;SIM;1;SUP;0;1;NAO;0;SIM;1;PROP;1;1;SIM;1;NAO;0;NAO;0;1
LDOR_0120;BOM;BOM;36;1;0;0;0;OUTROS;0;0;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;1
LDOR_0121;BOM;BOM;38;1;0;0;0;SP;1;0;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;NAO;0;0
LDOR_0122;BOM;BOM;43;1;1;0;0;OUTROS;0;0;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;SIM;1;1
LDOR_0123;BOM;BOM;37;1;0;0;0;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;2;NAO;0;NAO;0;NAO;0;0
LDOR_0124;BOM;BOM;19;0;0;0;0;SP;1;0;NÃO;0;MV;0;0;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;SIM;1;1
LDOR_0125;BOM;BOM;31;0;0;0;0;RJ;0;1;NÃO;0;MV;0;0;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;NAO;0;1
LDOR_0126;BOM;BOM;29;0;0;0;0;OUTROS;0;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;3;SIM;1;NAO;0;SIM;1;1
LDOR_0127;BOM;BOM;49;1;1;1;0;RJ;0;1;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;0;NAO;0;NAO;0;NAO;0;0
LDOR_0128;BOM;BOM;48;1;1;1;0;RJ;0;1;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;3;NAO;0;NAO;0;SIM;1;1
LDOR_0129;BOM;BOM;33;1;0;0;0;RJ;0;1;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;2;NAO;0;NAO;0;NAO;0;0
LDOR_0130;BOM;BOM;28;0;0;0;0;SP;1;0;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;1;NAO;0;NAO;0;NAO;0;0
LDOR_0131;BOM;BOM;19;0;0;0;0;RJ;0;1;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;2;SIM;1;NAO;0;NAO;0;0
LDOR_0132;MAU;MAU;45;1;1;1;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;35;NAO;0;NAO;0;SIM;1;0
LDOR_0133;BOM;BOM;71;1;1;1;1;RJ;0;1;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;2;SIM;1;NAO;0;NAO;0;1
LDOR_0134;BOM;BOM;40;1;1;0;0;OUTROS;0;0;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;5;NAO;0;NAO;0;SIM;1;0
LDOR_0135;BOM;BOM;45;1;1;1;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;0
LDOR_0136;BOM;BOM;53;1;1;1;1;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;SIM;1;1
LDOR_0137;BOM;BOM;51;1;1;1;0;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;SIM;1;SIM;1;PROP;1;3;SIM;1;NAO;0;NAO;0;1
LDOR_0138;BOM;BOM;31;0;0;0;0;SP;1;0;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;1;NAO;0;NAO;0;SIM;1;1
LDOR_0139;BOM;BOM;56;1;1;1;1;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;0;NAO;0;NAO;0;SIM;1;1
LDOR_0140;BOM;BOM;70;1;1;1;1;SP;1;0;NÃO;0;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;NAO;0;0
LDOR_0141;BOM;BOM;44;1;1;1;0;SP;1;0;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;NAO;0;1
LDOR_0142;BOM;BOM;28;0;0;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;NAO;0;1
LDOR_0143;BOM;BOM;41;1;1;0;0;RJ;0;1;SIM;1;SUP;0;1;NAO;0;SIM;1;PROP;1;0;SIM;1;NAO;0;NAO;0;1
LDOR_0144;BOM;BOM;36;1;0;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;SIM;1;1
LDOR_0145;BOM;BOM;77;1;1;1;1;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;0
LDOR_0146;BOM;BOM;43;1;1;0;0;SP;1;0;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;4;SIM;1;NAO;0;NAO;0;1
LDOR_0147;MAU;MAU;40;1;1;0;0;SP;1;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;37;NAO;0;NAO;0;SIM;1;0
LDOR_0148;BOM;BOM;38;1;0;0;0;SP;1;0;SIM;1;SUP;0;1;NAO;0;NAO;0;PROP;1;2;SIM;1;NAO;0;NAO;0;1
LDOR_0149;BOM;BOM;71;1;1;1;1;RJ;0;1;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;0;NAO;0;NAO;0;SIM;1;0
LDOR_0150;BOM;BOM;76;1;1;1;1;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;2;SIM;1;NAO;0;SIM;1;1
LDOR_0151;MAU;MAU;57;1;1;1;1;RJ;0;1;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;37;NAO;0;NAO;0;SIM;1;0
LDOR_0152;BOM;BOM;23;0;0;0;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;5;SIM;1;NAO;0;SIM;1;1
